1,,菅野　孝憲,GK,埼玉県,1984/5/3,179/75
21,,阿波加　俊太,GK,北海道,1995/2/7,188/77
25,,ク　ソンユン,GK,大韓民国,1994/6/27,195/82
46,,前川　廉,GK,北海道,2000/7/24,184/76
3,,田中　雄大,DF,滋賀県,1988/8/8,169/68
4,,河合　竜二,DF,東京都,1978/7/14,183/75
5,,福森　晃斗,DF,神奈川県,1992/12/16,183/75
15,,菊地　直哉,DF,静岡県,1984/11/24,181/74
20,,キム　ミンテ,DF,大韓民国,1993/11/26,187/78
32,,石川　直樹,DF,千葉県,1985/9/13,180/74
35,,進藤　亮佑,DF,北海道,1996/6/7,183/74
37,,濱　大耀,DF,北海道,1998/6/14,182/73
42,,中村　桐耶,DF,北海道,2000/7/23,186/78
43,,福田　心之助,DF,北海道,2000/9/4,173/67
6,,兵藤　慎剛,MF,長崎県,1985/7/29,172/68
8,,深井　一希,MF,北海道,1995/3/11,177/72
10,,宮澤　裕樹,MF,北海道,1989/6/28,182/72
14,,駒井　善成,MF,京都府,1992/6/6,168/64
17,,稲本　潤一,MF,大阪府,1979/9/18,181/77
18,,チャナティップ,MF,タイ,1993/10/5,158/56
19,,白井　康介,MF,愛知県,1994/5/1,165/63
26,,早坂　良太,MF,奈良県,1985/9/19,183/73
27,,荒野　拓馬,MF,北海道,1993/4/20,180/60
41,,三好　康児,MF,神奈川県,1997/3/26,167/64
44,,小野　伸二,MF,静岡県,1979/9/27,175/76
45,,本間　洋平,MF,北海道,2001/7/23,173/66
9,,都倉　賢,FW,東京都,1986/6/16,187/80
13,,内村　圭宏,FW,大分県,1984/8/24,174/67
31,,宮吉　拓実,FW,滋賀県,1992/8/7,172/66
38,,菅　大輝,FW,北海道,1998/9/10,171/69
40,,藤村　怜,FW,北海道,1999/5/26,176/68
48,,ジェイ,FW,イングランド,1982/5/7,190/89
