 ,順位,クラブ名,勝点,試合数,勝,分,負,得点,失点,得失点,直近5試合
,1,松本山雅ＦＣ松本山雅ＦＣ,77,42,21,14,7,54,34,20,
,2,大分トリニータ大分トリニータ,76,42,23,7,12,76,51,25,
,3,横浜ＦＣ横浜ＦＣ,76,42,21,13,8,63,44,19,
,4,ＦＣ町田ゼルビアＦＣ町田ゼルビア,76,42,21,13,8,62,44,18,
,5,大宮アルディージャ大宮アルディージャ,71,42,21,8,13,65,48,17,
,6,東京ヴェルディ東京ヴェルディ,71,42,19,14,9,56,41,15,
,7,アビスパ福岡アビスパ福岡,70,42,19,13,10,58,42,16,
,8,レノファ山口ＦＣレノファ山口ＦＣ,61,42,16,13,13,63,64,-1,
,9,ヴァンフォーレ甲府ヴァンフォーレ甲府,59,42,16,11,15,56,46,10,
,10,水戸ホーリーホック水戸ホーリーホック,57,42,16,9,17,48,46,2,
,11,徳島ヴォルティス徳島ヴォルティス,56,42,16,8,18,48,42,6,
,12,モンテディオ山形モンテディオ山形,56,42,14,14,14,49,51,-2,
,13,ツエーゲン金沢ツエーゲン金沢,55,42,14,13,15,52,48,4,
,14,ジェフユナイテッド千葉ジェフユナイテッド千葉,55,42,16,7,19,72,72,0,
,15,ファジアーノ岡山ファジアーノ岡山,53,42,14,11,17,39,43,-4,
,16,アルビレックス新潟アルビレックス新潟,53,42,15,8,19,48,56,-8,
,17,栃木ＳＣ栃木ＳＣ,50,42,13,11,18,38,48,-10,
,18,愛媛ＦＣ愛媛ＦＣ,48,42,12,12,18,34,52,-18,
,19,京都サンガF.C.京都サンガF.C.,43,42,12,7,23,40,58,-18,
,20,ＦＣ岐阜ＦＣ岐阜,42,42,11,9,22,44,62,-18,
,21,ロアッソ熊本ロアッソ熊本,34,42,9,7,26,50,79,-29,
,22,カマタマーレ讃岐カマタマーレ讃岐,31,42,7,10,25,28,72,-44,
